Delete              Code,Company             No.,Item                No.,Screen              Code,Field               No,Back Code,Field               No,Back Code,Field               No,Back Code,Field               No,Back Code,Raw Material,Divider Material,Hardware,Plastic Backer,Addl Material,Creation            Date,Creation            Time,Creation            User,Last                Change              Date,Last                Change              Time,Last                Change              User
A,100,C-SAMRYG,CFR,4,2,13,5,26,1,0,,SAM116160YG,SAM116160YG,,ABS-SHT-BLACK-1/8,8,20191014,120000,GJUSTEN,20240314,133000,ANIELSE
A,100,C-SAMRYG,CFR,4,2,13,3,26,2,0,,SAM18160YG,SAM18160YG,,ABS-SHT-BLACK-1/8,8,20191014,120000,GJUSTEN,20240314,133000,ANIELSE
A,100,C-SAMRYG,CFR,4,2,13,5,26,2,0,,SAM18160YG,SAM18160YG,,ABS-SHT-BLACK-1/8,8,20191014,120000,GJUSTEN,20240314,133000,ANIELSE
A,100,C-SAMSG,CFR,4,1,13,3,0,,0,,SAM116160RG,,,ABS-SHT-BLACK-1/8,8,20191014,120000,GJUSTEN,20240314,133000,ANIELSE
A,100,C-SAMSG,CFR,4,1,13,5,0,,0,,SAM116160RG,,,ABS-SHT-BLACK-1/8,8,20191014,120000,GJUSTEN,20240314,133000,ANIELSE
A,100,C-SAMSG,CFR,4,1,13,3,26,1,0,,SAM116160RG,SAM116160RG,,ABS-SHT-BLACK-1/8,8,20191014,120000,GJUSTEN,20240314,133000,ANIELSE
A,100,C-SAMSG,CFR,4,1,13,5,26,1,0,,SAM116160RG,SAM116160RG,,ABS-SHT-BLACK-1/8,8,20191014,120000,GJUSTEN,20240314,133000,ANIELSE
A,100,C-SAMSG,CFR,4,2,13,3,0,,0,,SAM18160RG,,,ABS-SHT-BLACK-1/8,8,20191014,120000,GJUSTEN,20240314,133000,ANIELSE
A,100,C-SAMSG,CFR,4,2,13,5,0,,0,,SAM18160RG,,,ABS-SHT-BLACK-1/8,8,20191014,120000,GJUSTEN,20240314,133000,ANIELSE
A,100,C-SAMSG,CFR,4,2,13,3,26,1,0,,SAM18160RG,SAM116160RG,,ABS-SHT-BLACK-1/8,8,20191014,120000,GJUSTEN,20240314,133000,ANIELSE
A,100,C-SAMSG,CFR,4,2,13,5,26,1,0,,SAM18160RG,SAM116160RG,,ABS-SHT-BLACK-1/8,8,20191014,120000,GJUSTEN,20240314,133000,ANIELSE
A,100,C-SAMSG,CFR,4,2,13,3,26,2,0,,SAM18160RG,SAM18160RG,,ABS-SHT-BLACK-1/8,8,20191014,120000,GJUSTEN,20240314,133000,ANIELSE
A,100,C-SAMSG,CFR,4,2,13,5,26,2,0,,SAM18160RG,SAM18160RG,,ABS-SHT-BLACK-1/8,8,20191014,120000,GJUSTEN,20240314,133000,ANIELSE
A,100,C-SAMSMB,CFR,4,1,13,3,0,,0,,SAM116160B,,,ABS-SHT-BLACK-1/8,8,20191014,120000,GJUSTEN,20240314,133000,ANIELSE
A,100,C-SAMSMB,CFR,4,1,13,5,0,,0,,SAM116160B,,,ABS-SHT-BLACK-1/8,8,20191014,120000,GJUSTEN,20240314,133000,ANIELSE
A,100,C-SAMSMB,CFR,4,1,13,3,26,1,0,,SAM116160B,SAM116160B,,ABS-SHT-BLACK-1/8,8,20191014,120000,GJUSTEN,20240314,133000,ANIELSE
A,100,C-SAMSMB,CFR,4,1,13,5,26,1,0,,SAM116160B,SAM116160B,,ABS-SHT-BLACK-1/8,8,20191014,120000,GJUSTEN,20240314,133000,ANIELSE
A,100,C-SAMSMB,CFR,4,2,13,3,0,,0,,SAM18160B,,,ABS-SHT-BLACK-1/8,8,20191014,120000,GJUSTEN,20240314,133000,ANIELSE
A,100,C-SAMSMB,CFR,4,2,13,5,0,,0,,SAM18160B,,,ABS-SHT-BLACK-1/8,8,20191014,120000,GJUSTEN,20240314,133000,ANIELSE
A,100,C-SAMSMB,CFR,4,2,13,3,26,1,0,,SAM18160B,SAM116160B,,ABS-SHT-BLACK-1/8,8,20191014,120000,GJUSTEN,20240314,133000,ANIELSE
A,100,C-SAMSMB,CFR,4,2,13,5,26,1,0,,SAM18160B,SAM116160B,,ABS-SHT-BLACK-1/8,8,20191014,120000,GJUSTEN,20240314,133000,ANIELSE
A,100,C-SAMSMB,CFR,4,2,13,3,26,2,0,,SAM18160B,SAM18160B,,ABS-SHT-BLACK-1/8,8,20191014,120000,GJUSTEN,20240314,133000,ANIELSE
A,100,C-SAMSMB,CFR,4,2,13,5,26,2,0,,SAM18160B,SAM18160B,,ABS-SHT-BLACK-1/8,8,20191014,120000,GJUSTEN,20240314,133000,ANIELSE
A,100,C-SAMSS,CFR,4,1,13,3,0,,0,,SAM116160BS,,,ABS-SHT-BLACK-1/8,8,20191014,120000,GJUSTEN,20240314,133000,ANIELSE
A,100,C-SAMSS,CFR,4,1,13,5,0,,0,,SAM116160BS,,,ABS-SHT-BLACK-1/8,8,20191014,120000,GJUSTEN,20240314,133000,ANIELSE
A,100,C-SAMSS,CFR,4,1,13,3,26,1,0,,SAM116160BS,SAM116160BS,,ABS-SHT-BLACK-1/8,8,20191014,120000,GJUSTEN,20240314,133000,ANIELSE
A,100,C-SAMSS,CFR,4,1,13,5,26,1,0,,SAM116160BS,SAM116160BS,,ABS-SHT-BLACK-1/8,8,20191014,120000,GJUSTEN,20240314,133000,ANIELSE
A,100,C-SAMSS,CFR,4,2,13,3,0,,0,,SAM18160BS,,,ABS-SHT-BLACK-1/8,8,20191014,120000,GJUSTEN,20240314,133000,ANIELSE
A,100,C-SAMSS,CFR,4,2,13,5,0,,0,,SAM18160BS,,,ABS-SHT-BLACK-1/8,8,20191014,120000,GJUSTEN,20240314,133000,ANIELSE
A,100,C-SAMSS,CFR,4,2,13,3,26,1,0,,SAM18160BS,SAM116160BS,,ABS-SHT-BLACK-1/8,8,20191014,120000,GJUSTEN,20240314,133000,ANIELSE
A,100,C-SAMSS,CFR,4,2,13,5,26,1,0,,SAM18160BS,SAM116160BS,,ABS-SHT-BLACK-1/8,8,20191014,120000,GJUSTEN,20240314,133000,ANIELSE
A,100,C-SAMSS,CFR,4,2,13,3,26,2,0,,SAM18160BS,SAM18160BS,,ABS-SHT-BLACK-1/8,8,20191014,120000,GJUSTEN,20240314,133000,ANIELSE
A,100,C-SAMSS,CFR,4,2,13,5,26,2,0,,SAM18160BS,SAM18160BS,,ABS-SHT-BLACK-1/8,8,20191014,120000,GJUSTEN,20240314,133000,ANIELSE
A,100,C-SAMSSS,CFR,4,1,13,3,0,,0,,SAM116160S,,,ABS-SHT-BLACK-1/8,8,20191014,120000,GJUSTEN,20240314,133000,ANIELSE
A,100,C-SAMSSS,CFR,4,1,13,5,0,,0,,SAM116160S,,,ABS-SHT-BLACK-1/8,8,20191014,120000,GJUSTEN,20240314,133000,ANIELSE
A,100,C-SAMSSS,CFR,4,1,13,3,26,1,0,,SAM116160S,SAM116160S,,ABS-SHT-BLACK-1/8,8,20191014,120000,GJUSTEN,20240314,133000,ANIELSE
A,100,C-SAMSSS,CFR,4,1,13,5,26,1,0,,SAM116160S,SAM116160S,,ABS-SHT-BLACK-1/8,8,20191014,120000,GJUSTEN,20240314,133000,ANIELSE
A,100,C-SAMSSS,CFR,4,2,13,3,0,,0,,SAM18160S,,,ABS-SHT-BLACK-1/8,8,20191014,120000,GJUSTEN,20240314,133000,ANIELSE
A,100,C-SAMSSS,CFR,4,2,13,5,0,,0,,SAM18160S,,,ABS-SHT-BLACK-1/8,8,20191014,120000,GJUSTEN,20240314,133000,ANIELSE
A,100,C-SAMSSS,CFR,4,2,13,3,26,1,0,,SAM18160S,SAM116160S,,ABS-SHT-BLACK-1/8,8,20191014,120000,GJUSTEN,20240314,133000,ANIELSE
A,100,C-SAMSSS,CFR,4,2,13,5,26,1,0,,SAM18160S,SAM116160S,,ABS-SHT-BLACK-1/8,8,20191014,120000,GJUSTEN,20240314,133000,ANIELSE
A,100,C-SAMSSS,CFR,4,2,13,3,26,2,0,,SAM18160S,SAM18160S,,ABS-SHT-BLACK-1/8,8,20191014,120000,GJUSTEN,20240314,133000,ANIELSE
A,100,C-SAMSSS,CFR,4,2,13,5,26,2,0,,SAM18160S,SAM18160S,,ABS-SHT-BLACK-1/8,8,20191014,120000,GJUSTEN,20240314,133000,ANIELSE
A,100,C-SAMSYG,CFR,4,1,13,5,0,,0,,SAM116160YG,,,ABS-SHT-BLACK-1/8,8,20191014,120000,GJUSTEN,20240314,133000,ANIELSE
A,100,C-SAMSYG,CFR,4,1,13,3,26,1,0,,SAM116160YG,SAM116160YG,,ABS-SHT-BLACK-1/8,8,20191014,120000,GJUSTEN,20240314,133000,ANIELSE
A,100,C-SAMSYG,CFR,4,1,13,5,26,1,0,,SAM116160YG,SAM116160YG,,ABS-SHT-BLACK-1/8,8,20191014,120000,GJUSTEN,20240314,133000,ANIELSE
A,100,C-SAMSYG,CFR,4,2,13,3,0,,0,,SAM116160YG,,,ABS-SHT-BLACK-1/8,8,20191014,120000,GJUSTEN,20240314,133000,ANIELSE
A,100,C-SAMSYG,CFR,4,2,13,5,0,,0,,SAM116160YG,,,ABS-SHT-BLACK-1/8,8,20191014,120000,GJUSTEN,20240314,133000,ANIELSE
A,100,C-SAMSYG,CFR,4,2,13,3,26,1,0,,SAM116160YG,SAM116160YG,,ABS-SHT-BLACK-1/8,8,20191014,120000,GJUSTEN,20240314,133000,ANIELSE
A,100,C-SAMSYG,CFR,4,2,13,5,26,1,0,,SAM116160YG,SAM116160YG,,ABS-SHT-BLACK-1/8,8,20191014,120000,GJUSTEN,20240314,133000,ANIELSE
A,100,C-SAMSYG,CFR,4,2,13,3,26,2,0,,SAM18160YG,SAM18160YG,,ABS-SHT-BLACK-1/8,8,20191014,120000,GJUSTEN,20240314,133000,ANIELSE
A,100,C-SAMSYG,CFR,4,2,13,5,26,2,0,,SAM18160YG,SAM18160YG,,ABS-SHT-BLACK-1/8,8,20191014,120000,GJUSTEN,20240314,133000,ANIELSE
A,100,C-SBMB,CFR,7,,0,,0,,0,,SB39B,,SBSCREWMB,,1,20191014,120000,GJUSTEN,20240314,133000,ANIELSE
A,100,C-SBS,CFR,7,,0,,0,,0,,SB39S,,SBSCREWS,,1,20191014,120000,GJUSTEN,20240314,133000,ANIELSE
A,100,C-SBSS,CFR,7,,0,,0,,0,,SB39SS,,SBSCREWS,,1,0,0,,20240314,133000,ANIELSE
A,100,C-SBYG,CFR,7,,0,,0,,0,,SB39YG,,SBSCREWYG,,1,20191014,120000,GJUSTEN,20240314,133000,ANIELSE
A,100,C-SCBSS,CFR,7,,0,,0,,0,,SBCC39SS,,,,1,0,0,,20240314,133000,ANIELSE
A,100,C-SC4MB,CFR,0,,0,,0,,0,,SC484B,,SCSCREW,SC4EC,1,0,0,,20240314,133000,ANIELSE
A,100,C-SC4SS,CFR,0,,0,,0,,0,,SC484SS,,SCSCREW,SC4EC,1,0,0,,20240314,133000,ANIELSE
A,100,C-SC6MB,CFR,0,,0,,0,,0,,SC486B,,SCSCREW,SC6EC,1,0,0,,20240314,133000,ANIELSE
A,100,C-SC6SS,CFR,0,,0,,0,,0,,SC486SS,,SCSCREW,SC6EC,1,0,0,,20240314,133000,ANIELSE
A,100,C-SC8MB,CFR,0,,0,,0,,0,,SC488B,,SCSCREW,SC8EC,1,0,0,,20240314,133000,ANIELSE
A,100,C-SC8SS,CFR,0,,0,,0,,0,,SC488SS,,SCSCREW,SC8EC,1,0,0,,20240314,133000,ANIELSE
A,100,C-SDBB,CFR,7,,0,,0,,0,,SDB39B,,,,1,0,0,,20240314,133000,ANIELSE
A,100,C-SDBG,CFR,7,,0,,0,,0,,SDB39G,,,,1,0,0,,20240314,133000,ANIELSE
A,100,C-SDBS,CFR,7,,0,,0,,0,,SDB39S,,,,1,0,0,,20240314,133000,ANIELSE
A,100,C-SDBSS,CFR,7,,0,,0,,0,,SDB39SS,,,,1,0,0,,20240314,133000,ANIELSE
A,100,C-SDBYG,CFR,7,,0,,0,,0,,SDB39YG,,,,1,0,0,,20240314,133000,ANIELSE
A,100,C-SDG,CFR,7,,0,,0,,0,,SD392G,,,,1,20191014,120000,GJUSTEN,20240314,133000,ANIELSE
A,100,C-SDMB,CFR,7,,0,,0,,0,,SD392B,,,,1,20191014,120000,GJUSTEN,20240314,133000,ANIELSE
A,100,C-SDS,CFR,7,,0,,0,,0,,SD392S,,,,1,20191014,120000,GJUSTEN,20240314,133000,ANIELSE
A,100,C-SDW11MB,CFR,7,,0,,0,,0,,SW3911MB,,,,1,0,0,,20240314,133000,ANIELSE
A,100,C-SDW11S,CFR,7,,0,,0,,0,,SW3911S,,,,1,0,0,,20240314,133000,ANIELSE
A,100,C-SDW11SS,CFR,7,,0,,0,,0,,SW3911SS,,,,1,0,0,,20240314,133000,ANIELSE
A,100,C-SDYG,CFR,7,,0,,0,,0,,SD392YG,,,,1,20191014,120000,GJUSTEN,20240314,133000,ANIELSE
A,100,C-SERG,CFR,0,,0,,0,,0,,SE39RRG,,,,1,20191014,120000,GJUSTEN,20240314,133000,ANIELSE
A,100,C-SERMB,CFR,0,,0,,0,,0,,SE39RB,SECE39B,SERSCREWB,,1,20191014,120000,GJUSTEN,20240314,133000,ANIELSE
A,100,C-SERSS,CFR,0,,0,,0,,0,,SE39RS,SECE39SS,SERSCREW,,1,20191014,120000,GJUSTEN,20240314,133000,ANIELSE
A,100,C-SESMB,CFR,0,,0,,0,,0,,SE39SB,SECE39B,SESSCREWB,,1,20191014,120000,GJUSTEN,20240314,133000,ANIELSE
A,100,C-SESSS,CFR,0,,0,,0,,0,,SE39SS,SECE39SS,SESSCREW,,1,20191014,120000,GJUSTEN,20240314,133000,ANIELSE
A,100,C-SPBVMB,CFR,13,3,0,,0,,0,,SPB39B,,,ABS-SHT-BLACK-1/8,1,0,0,,20240314,133000,ANIELSE
A,100,C-SPBVMB,CFR,13,3,26,1,0,,0,,SPB39B,SAM116160B,,ABS-SHT-BLACK-1/8,1,0,0,,20240314,133000,ANIELSE
A,100,C-SPBVMB,CFR,13,3,26,2,0,,0,,SPB39B,SAM18160B,,ABS-SHT-BLACK-1/8,1,0,0,,20240314,133000,ANIELSE
A,100,C-SPBVMB,CFR,13,5,0,,0,,0,,SPB39B,,,ABS-SHT-BLACK-1/8,1,0,0,,20240314,133000,ANIELSE
A,100,C-SPBVMB,CFR,13,5,26,1,0,,0,,SPB39B,,,ABS-SHT-BLACK-1/8,1,0,0,,20240314,133000,ANIELSE
A,100,C-SPBVMB,CFR,13,5,26,2,0,,0,,SPB39B,SAM18160B,,ABS-SHT-BLACK-1/8,1,0,0,,20240314,133000,ANIELSE
A,100,C-SPBVS,CFR,13,3,0,,0,,0,,SPB100BS,,,ABS-SHT-BLACK-1/8,1,20191014,120000,GJUSTEN,20240314,133000,ANIELSE
A,100,C-SPBVS,CFR,13,3,26,1,0,,0,,SPB100BS,SAM116160BS,,ABS-SHT-BLACK-1/8,1,20191014,120000,GJUSTEN,20240314,133000,ANIELSE
A,100,C-SPBVS,CFR,13,3,26,2,0,,0,,SPB100BS,SAM18160BS,,ABS-SHT-BLACK-1/8,1,20191014,120000,GJUSTEN,20240314,133000,ANIELSE
A,100,C-SPBVS,CFR,13,5,0,,0,,0,,SPB100BS,,,ABS-SHT-BLACK-1/8,1,20191014,120000,GJUSTEN,20240314,133000,ANIELSE
A,100,C-SPBVS,CFR,13,5,26,1,0,,0,,SPB100BS,SAM116160BS,,ABS-SHT-BLACK-1/8,1,20191014,120000,GJUSTEN,20240314,133000,ANIELSE
A,100,C-SPBVS,CFR,13,5,26,2,0,,0,,SPB100BS,SAM18160BS,,ABS-SHT-BLACK-1/8,1,20191014,120000,GJUSTEN,20240314,133000,ANIELSE
A,100,C-SPBVSG,CFR,13,3,0,0,0,,0,,SPB100RG,,,ABS-SHT-BLACK-1/8,1,0,0,,20240314,133000,ANIELSE
A,100,C-SPBVSG,CFR,13,3,26,1,0,,0,,SPB100RG,SAM116160RG,,ABS-SHT-BLACK-1/8,1,0,0,,20240314,133000,ANIELSE
A,100,C-SPBVSG,CFR,13,3,26,2,0,,0,,SPB100RG,SAM18160RG,,ABS-SHT-BLACK-1/8,1,0,0,,20240314,133000,ANIELSE
A,100,C-SPBVSG,CFR,13,5,0,,0,,0,,SPB100RG,,,ABS-SHT-BLACK-1/8,1,0,0,,20240314,133000,ANIELSE
A,100,C-SPBVSG,CFR,13,5,26,1,0,,0,,SPB100RG,SAM116160RG,,ABS-SHT-BLACK-1/8,1,0,0,,20240314,133000,ANIELSE
A,100,C-SPBVSG,CFR,13,5,26,2,0,,0,,SPB100RG,SAM18160RG,,ABS-SHT-BLACK-1/8,1,0,0,,20240314,133000,ANIELSE
A,100,C-SPBVSS,CFR,13,3,0,,0,,0,,SPB100S,,,ABS-SHT-BLACK-1/8,1,20191014,120000,GJUSTEN,20240314,133000,ANIELSE
A,100,C-SPBVSS,CFR,13,3,26,1,0,,0,,SPB100S,SAM116160S,,ABS-SHT-BLACK-1/8,1,20191014,120000,GJUSTEN,20240314,133000,ANIELSE
A,100,C-SPBVSS,CFR,13,3,26,2,0,,0,,SPB100S,SAM18160S,,ABS-SHT-BLACK-1/8,1,20191014,120000,GJUSTEN,20240314,133000,ANIELSE
